ID   NAME
------------------------------
1    Margaret Torvalds 2
2    Mikael Burns 10
3    Logan Thompson 10
4    Brent Kane 8
5    Logan Hamilton 9
6    Logan Sturm 5
7    Dennis Shannon 7
8    Ken Korpisalo 1
9    Nico Shannon 2
10   Mario Hopper 6
11   Antti Ritchie 7
12   Mario Ritchie 6
13   Erik Ritchie 3
14   Dennis Hamilton 6
15   Antti Torvalds 1
16   Mikael Hamilton 8
17   Radim Thornton 5
18   Claude Thompson 10
19   Ken Hamilton 10
20   Ken Sturm 1
21   Grace Ferraro 4
22   Logan Sturm 7
23   Antti Meier 10
24   Timo Thompson 1
25   Ken Sturm 3
26   Joe Ferraro 5
27   Radim Burns 4
28   Mikael Hopper 7
29   Claude Karlsson 4
30   Evander Couture 5
31   Tomas Lovelace 4
32   Antti Meier 8
33   Claude Ritchie 4
34   Tomas Couture 6
35   Nico Korpisalo 3
36   Joonas Torvalds 10
37   Sasha Lovelace 10
38   Brent Hertl 4
39   Antti Karlsson 9
40   Logan Shannon 4
41   Dennis Hopper 3
42   Mikael Kane 5
43   Tomas Sturm 2
44   Grace Lovelace 4
45   Logan Granlund 5
46   Nico Granlund 7
47   Evander Hamilton 7
48   Timo Couture 2
49   Ken Thornton 10
50   Dennis Hamilton 4
51   Mikael Karlsson 3
52   Joe Granlund 7
53   Ada Hischier 9
54   Erik Thompson 9
55   Mikael Lovelace 9
